SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
520057,JTEKTINDIA  ,B ,Q,103.00,104.00,102.60,103.70,102.75,103.80,193,13072,1355219.00,
520059,MUNAUTO     ,B ,Q,68.40,68.65,67.40,67.75,67.40,67.75,50,5182,352627.00,
520066,JAYBH.MARUTI,B ,Q,459.40,463.25,453.05,458.45,457.10,451.80,54,805,368602.00,
520073,RACLGEAR    ,X ,Q,71.50,73.00,70.00,71.00,71.90,71.60,98,17435,1257180.00,
520075,SAMKRG PIST.,X ,Q,243.00,244.85,235.00,237.40,238.00,241.05,79,2413,577471.00,
520077,AMTEK AUTO  ,Z ,Q,9.46,10.44,9.46,9.84,9.84,9.95,886,481923,4754234.00,
520086,SICAL LOG   ,B ,Q,195.10,195.10,195.00,195.00,195.00,192.60,5,1155,225325.00,
520111,RATNAMNI MET,B ,Q,1019.00,1025.00,1012.50,1025.00,1025.00,1025.00,8,38,38732.00,
520113,VESUVIUS IND,B ,Q,1260.00,1266.00,1260.00,1260.10,1260.10,1252.00,5,40,50471.00,
520119,AUTOMOTIVE S,B ,Q,69.20,69.20,69.20,69.20,69.20,71.25,1,100,6920.00,
520123,ABC INDIA   ,XT,Q,86.00,86.85,82.50,84.00,84.00,86.00,10,688,58818.00,
520127,BALURGHAT TE,XT,Q,5.00,5.00,4.99,4.99,4.99,5.15,3,450,2247.00,
520139,JAGSON AIRLI,XT,Q,2.64,2.65,2.42,2.49,2.65,2.54,15,1335,3350.00,
520151,SHREY SH LOG,B ,Q,469.25,475.95,469.25,472.00,472.00,476.60,7,138,64987.00,
520155,STARLOG     ,X ,Q,35.00,36.00,32.00,35.85,35.90,31.30,34,3321,113893.00,
521005,INDOVATION  ,XT,Q,10.50,10.50,10.50,10.50,10.50,10.00,1,200,2100.00,
521014,EUROTEX IND ,B ,Q,30.60,30.60,25.00,25.50,25.50,25.75,11,1586,40909.00,
521016,INDO COUNT  ,A ,Q,70.30,71.00,69.00,70.30,70.40,70.05,156,12619,883850.00,
521018,MARAL OVERS ,B ,Q,31.25,32.20,30.80,30.80,30.80,31.20,14,562,17725.00,
521030,NAKODA      ,Z ,Q,0.19,0.19,0.19,0.19,0.19,0.19,10,9100,1729.00,
521034,SOMA TEXTILE,T ,Q,11.49,11.49,10.45,11.49,11.49,10.95,21,3234,36063.00,
521064,TRIDENT     ,A ,Q,59.20,61.35,59.10,60.15,60.30,59.20,426,57162,3455366.00,
521070,ALOK INDS.  ,T ,Q,2.49,2.49,2.31,2.31,2.31,2.43,223,1212615,2804013.00,
521082,SPENTEX INDS,T ,Q,3.60,3.60,3.46,3.56,3.56,3.64,4,1027,3599.00,
521097,AMARJOTHI SP,X ,Q,110.00,111.90,108.30,108.50,108.50,108.70,42,2341,255340.00,
521105,OLYMPIA IND.,X ,Q,84.00,84.00,83.60,83.60,83.60,88.00,3,91,7627.00,
521109,NAGREEKA EXP,B ,Q,28.95,28.95,27.20,27.20,27.20,29.00,16,3450,96032.00,
521113,SUDITI IND. ,X ,Q,52.40,52.45,49.50,52.40,52.40,50.00,9,834,42320.00,
521127,KHATOR FIBRE,XT,Q,11.47,11.47,10.46,10.46,10.46,10.93,5,650,7454.00,
521141,ADITYA SPIN.,XT,Q,6.00,6.30,6.00,6.30,6.30,6.30,7,242,1512.00,
521149,PRIME URBAN ,X ,Q,14.91,15.50,14.36,14.73,14.36,15.50,24,17222,257335.00,
521151,DHANLXMI FAB,X ,Q,33.20,33.20,33.20,33.20,33.20,34.90,2,20,664.00,
521161,SRI LAK.SAR.,XT,Q,17.20,17.20,17.20,17.20,17.20,17.20,2,50,860.00,
521163,ZODIAC CLOTH,B ,Q,154.40,157.85,154.00,155.75,155.75,156.10,22,1560,242176.00,
521167,FRONT BUSS  ,X ,Q,7.76,8.40,7.76,8.40,8.40,8.40,3,81,629.00,
521180,SUPER SPIN. ,T ,Q,10.95,11.05,10.50,11.05,11.05,10.84,49,18900,204964.00,
521194,SIL INVEST  ,B ,Q,249.90,256.50,242.00,253.30,251.25,246.35,105,3635,902684.00,
521206,SAMTEX FASH.,X ,Q,2.97,2.97,2.83,2.90,2.90,2.90,40,12558,36262.00,
521216,DHAN ROTO SP,XT,Q,31.00,33.90,31.00,33.75,33.75,32.40,6,439,13617.00,
521222,SANBLUE     ,X ,Q,6.80,6.80,6.80,6.80,6.80,6.48,3,425,2890.00,
521228,TATIA GLOB  ,X ,Q,0.28,0.28,0.28,0.28,0.28,0.27,1,2,0.00,
521232,SUNIL INDUS.,P ,Q,29.45,29.45,29.45,29.45,29.45,31.00,4,1700,50065.00,
521240,SAMBANDAM SP,X ,Q,126.65,130.00,124.15,127.10,130.00,129.90,23,6062,780329.00,
521248,KITEX GARMEN,B ,Q,169.95,170.00,167.30,169.05,170.00,168.85,106,4408,745921.00,
522001,CRANEX LTD. ,X ,Q,18.00,18.95,18.00,18.95,18.95,18.45,14,3672,68326.00,
522004,BATLIBOI LTD,X ,Q,19.75,21.00,19.75,20.60,20.75,20.00,49,7143,146017.00,
522005,AUSTIN ENGG.,X ,Q,61.00,67.80,59.05,65.40,67.80,61.70,20,3973,257043.00,
522014,UNITED DRILL,Z ,Q,129.00,135.45,129.00,135.45,135.45,129.00,13,326,44003.00,
522017,FLUIDOMAT   ,X ,Q,174.00,174.00,168.25,168.25,168.25,172.35,17,469,80478.00,
522029,WINDSOR MACH,B ,Q,110.65,115.60,110.65,113.60,114.00,112.90,99,43987,5014898.00,
522034,SHANTHI GEAR,B ,Q,131.95,134.90,131.95,132.95,132.50,131.25,52,2557,340047.00,
522064,HONDA SIEL  ,B ,Q,1340.00,1370.00,1326.25,1332.15,1339.00,1343.30,80,513,687773.00,
522073,HITECHGEAR  ,B ,Q,462.00,467.45,451.00,455.60,451.00,454.80,52,932,428986.00,
522074,ELGI EQUIP  ,B ,Q,273.00,273.00,268.15,269.10,269.00,274.75,120,2737,740006.00,
522091,UV DER HORST,XT,Q,14.18,14.18,14.18,14.18,14.18,13.91,2,90,1276.00,
522101,KILBURN ENGG,X ,Q,57.00,61.65,57.00,60.50,61.00,58.05,48,8229,495261.00,
522105,BIRLA PRETEC,X ,Q,7.65,8.20,7.65,7.86,7.85,7.75,60,39561,315771.00,
522108,YUKEN INDIA ,X ,Q,3700.00,3700.00,3580.00,3624.35,3665.00,3600.00,78,523,1902543.00,
522113,TIMKEN (I)  ,B ,Q,765.00,783.90,756.85,772.20,774.80,769.90,433,4341,3355304.00,
522122,VOITH PAPER ,XT,Q,766.00,794.95,766.00,792.25,792.40,777.60,11,192,151132.00,
522134,ARTSON ENG  ,X ,Q,59.00,62.85,59.00,60.25,60.70,58.00,99,11670,704849.00,
522152,SOLITAIR MC ,X ,Q,57.30,62.85,57.30,62.35,62.35,58.90,23,1814,110159.00,
522163,DIAMONPOWER ,T ,Q,3.08,3.15,2.93,3.10,3.00,3.08,37,12018,36620.00,
522165,INDSIL HYD  ,X ,Q,141.10,150.00,141.10,145.70,147.00,143.30,50,2992,440178.00,
522183,ITL INDUSTRS,X ,Q,217.25,237.80,216.00,223.20,223.20,228.10,39,773,173222.00,
522195,FRONTIER SPR,X ,Q,129.25,139.15,129.00,131.55,131.00,130.40,106,6937,912865.00,
522205,PRAJ IND.LTD,A ,Q,89.40,90.15,88.75,89.15,89.20,89.40,370,54839,4891015.00,
522207,RASANDIK ENG,X ,Q,160.00,165.10,155.00,165.10,165.10,157.25,46,3873,637758.00,
522215,SWISS GLASS ,X ,Q,166.40,169.70,166.35,168.75,169.60,164.50,82,4446,749679.00,
522217,GUJ APOIND  ,B ,Q,208.35,208.35,203.60,203.95,203.95,204.05,6,77,15748.00,
522229,TANEJA AERO.,X ,Q,42.45,42.75,41.90,42.70,41.95,42.75,28,1721,72611.00,
522231,CONART ENG. ,X ,Q,39.00,39.00,39.00,39.00,39.00,39.00,1,25,975.00,
522237,SHIVAGRICO  ,XT,Q,6.20,6.20,6.20,6.20,6.20,6.20,2,1135,7037.00,
522241,M.M.FORGINGS,B ,Q,1277.10,1320.00,1277.10,1299.90,1315.00,1273.55,165,1642,2134492.00,
522249,MAYUR UNIQ. ,B ,Q,443.00,448.15,440.30,447.05,448.15,434.80,21,133,59080.00,
522251,CENLUB INDUS,X ,Q,61.00,62.70,60.60,60.70,60.70,62.75,5,467,28573.00,
522257,RAJOO ENGIN.,X ,Q,48.20,48.60,46.25,47.30,47.60,48.25,173,61686,2917875.00,
522261,DOLPHIN OFF.,B ,Q,67.50,69.30,67.00,68.05,68.00,67.55,283,25350,1726412.00,
522263,JMC PROJECTS,B ,Q,584.00,584.00,575.00,581.05,581.00,587.75,44,1348,779492.00,
522267,VEEJAY LAKSH,X ,Q,51.00,51.00,51.00,51.00,51.00,51.10,1,1,51.00,
522275,GET&D       ,A ,Q,317.75,321.50,312.60,314.65,315.00,312.50,188,5142,1625052.00,
